Time,TcpHybla,TcpNewReno,TcpScalable,TcpVegas,TcpWestwood
0.020928,536,,,,
0.046512,1072,,,,
0.076384,1608,,,,
0.106256,2144,,,,
0.131408,2680,,,,
0.140848,3216,,,,
0.16128,3752,,,,
0.17072,4288,,,,
0.18016,4824,,,,
0.191152,5360,,,,
0.200592,5896,,,,
0.210032,6432,,,,
0.219472,6968,,,,
0.228912,7504,,,,
0.238352,8040,,,,
0.247792,8576,,,,
0.257232,9112,,,,
0.271072,9648,,,,
0.280576,4288,,,,
0.45848,1072,,,,
0.590784,1608,,,,
0.651776,2144,,,,
0.696672,2680,,,,
0.829184,1072,,,,
0.020928,,536,,,
0.046512,,1072,,,
0.076384,,1608,,,
0.106256,,2144,,,
0.131408,,2680,,,
0.140848,,3216,,,
0.16128,,3752,,,
0.17072,,4288,,,
0.18016,,4824,,,
0.191152,,5360,,,
0.200592,,5896,,,
0.210032,,6432,,,
0.219472,,6968,,,
0.228912,,7504,,,
0.238352,,8040,,,
0.247792,,8576,,,
0.257232,,9112,,,
0.271072,,9648,,,
0.280576,,4288,,,
0.45848,,1072,,,
0.590784,,1340,,,
0.620656,,1554,,,
0.65248,,1738,,,
0.687936,,1903,,,
0.723392,,2053,,,
0.758848,,2192,,,
0.79864,,2323,,,
0.80808,,2446,,,
0.847872,,2563,,,
1.05693,,2675,,,
0.020928,,,536,,
0.046512,,,1072,,
0.076384,,,1608,,
0.106256,,,2144,,
0.131408,,,2680,,
0.140848,,,3216,,
0.16128,,,3752,,
0.17072,,,4288,,
0.18016,,,4824,,
0.191152,,,5360,,
0.200592,,,5896,,
0.210032,,,6432,,
0.219472,,,6968,,
0.228912,,,7504,,
0.238352,,,8040,,
0.247792,,,8576,,
0.257232,,,9112,,
0.271072,,,9648,,
0.280576,,,7504,,
0.442768,,,4824,,
0.61624,,,3752,,
1.66624,,,536,,
1.69219,,,1072,,
1.72056,,,1608,,
1.72522,,,2144,,
1.74571,,,2680,,
1.75949,,,3216,,
1.79571,,,3752,,
0.020928,,,,536,
0.046512,,,,1072,
0.076384,,,,1608,
0.106256,,,,2144,
0.131408,,,,2680,
0.140848,,,,3216,
0.16128,,,,3752,
0.17072,,,,4288,
0.18016,,,,4824,
0.191152,,,,5360,
0.200592,,,,3752,
0.468976,,,,3216,
0.536768,,,,2680,
0.631216,,,,2787,
0.680448,,,,2890,
0.729424,,,,2354,
0.840512,,,,1818,
0.020928,,,,,536
0.046512,,,,,1072
0.076384,,,,,1608
0.106256,,,,,2144
0.131408,,,,,2680
0.140848,,,,,3216
0.16128,,,,,3752
0.17072,,,,,4288
0.18016,,,,,4824
0.191152,,,,,5360
0.200592,,,,,5896
0.210032,,,,,6432
0.219472,,,,,6968
0.228912,,,,,7504
0.238352,,,,,8040
0.247792,,,,,8576
0.257232,,,,,9112
0.271072,,,,,9648
0.280576,,,,,1072
0.62704,,,,,1340
0.660192,,,,,1554
0.695648,,,,,1738
0.73544,,,,,1903
0.775232,,,,,2053
0.815024,,,,,2192
0.859152,,,,,2323
1.06387,,,,,2446
